City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,hermanus,-34.4187,19.2345,21.0,84,91,4.41,ZA
1,vaini,-21.2,-175.2,26.09,83,75,1.03,TO
2,wad madani,14.4012,33.5199,25.25,21,20,5.13,SD
3,georgetown,5.4112,100.3354,24.97,99,20,0.0,MY
4,rocha,-34.4833,-54.3333,22.26,65,0,3.76,UY
5,nalut,30.3333,10.85,8.87,60,71,4.14,LY
6,tiruchchendur,8.4833,78.1167,24.29,78,91,6.38,IN
7,tasiilaq,65.6145,-37.6368,-4.91,92,100,3.72,GL
8,albany,42.6001,-73.9662,6.52,47,98,2.14,US
9,east london,-33.0153,27.9116,24.09,87,24,1.72,ZA
10,ancud,-41.8697,-73.8203,17.05,73,25,4.62,CL
11,san rafael,-34.6177,-68.3301,35.69,14,1,7.85,AR
12,ushuaia,-54.8,-68.3,8.79,70,40,12.35,AR
13,clyde river,70.4692,-68.5914,-27.87,69,0,6.69,CA
14,port alfred,-33.5906,26.891,21.77,94,33,1.34,ZA
15,mataura,-46.1927,168.8643,15.17,86,94,5.0,NZ
16,mahebourg,-20.4081,57.7,26.81,83,40,2.06,MU
17,williams lake,52.1415,-122.1445,4.76,75,40,2.06,CA
18,faanui,-16.4833,-151.75,27.43,74,16,6.38,PF
19,chokurdakh,70.6333,147.9167,-40.01,100,71,1.07,RU
20,moron,-34.6534,-58.6198,31.7,44,8,3.32,AR
21,myanaung,18.2833,95.3167,18.54,36,41,0.51,MM
22,touros,-5.1989,-35.4608,26.94,74,96,4.76,BR
23,kousseri,12.0769,15.0306,25.77,17,100,4.03,CM
24,leningradskiy,69.3833,178.4167,-30.26,98,100,1.87,RU
25,sola,-13.8833,167.55,28.01,78,100,8.81,VU
26,acarau,-2.8856,-40.12,26.12,81,46,5.47,BR
27,antofagasta,-23.65,-70.4,23.6,77,1,3.99,CL
28,lompoc,34.6391,-120.4579,17.1,77,75,8.94,US
29,hilo,19.7297,-155.09,25.71,81,75,2.24,US
30,skjervoy,70.0311,20.9714,2.0,64,100,12.57,NO
31,severo-kurilsk,50.6789,156.125,-4.17,75,97,2.73,RU
32,lavrentiya,65.5833,-171.0,-19.17,94,100,4.12,RU
33,kupang,-10.1667,123.5833,24.32,100,40,1.03,ID
34,khatanga,71.9667,102.5,-36.52,99,72,2.81,RU
35,mayo,38.8876,-76.5119,14.97,55,0,5.66,US
36,linxia,35.6003,103.2064,-3.7,47,59,0.75,CN
37,kapaa,22.0752,-159.319,26.18,84,75,7.2,US
38,rikitea,-23.1203,-134.9692,26.02,74,5,7.05,PF
39,nikolskoye,59.7035,30.7861,-4.06,95,100,3.64,RU
40,hervey bay,-25.2986,152.8535,25.65,88,63,7.29,AU
41,kaitangata,-46.2817,169.8464,16.46,76,80,8.66,NZ
42,busselton,-33.65,115.3333,18.98,81,34,5.33,AU
43,whitehorse,60.7161,-135.0538,-11.57,85,40,4.63,CA
44,jalapa,19.5333,-96.9167,18.94,58,15,3.23,MX
45,butaritari,3.0707,172.7902,26.8,83,100,8.56,KI
46,arraial do cabo,-22.9661,-42.0278,27.92,78,75,2.06,BR
47,yellowknife,62.456,-114.3525,-21.36,77,100,4.12,CA
48,provideniya,64.3833,-173.3,-14.8,72,100,6.0,RU
49,mackay,-21.15,149.2,27.6,84,47,5.23,AU
50,cidreira,-30.1811,-50.2056,24.76,71,56,4.8,BR
51,matagami,49.7502,-77.6328,-15.94,66,0,3.09,CA
52,havoysund,70.9963,24.6622,3.13,70,100,12.29,NO
53,sao filipe,14.8961,-24.4956,21.51,62,93,7.36,CV
54,charters towers,-20.1,146.2667,25.77,84,87,5.85,AU
55,goedereede,51.8175,3.9806,6.67,85,77,0.89,NL
56,hithadhoo,-0.6,73.0833,26.89,71,76,4.7,MV
57,beihai,21.4833,109.1,18.75,95,100,5.56,CN
58,batouri,4.4333,14.3667,23.82,23,73,1.69,CM
59,biu,10.6129,12.1946,23.97,19,99,3.48,NG
60,bulgan,48.8125,103.5347,-19.55,96,66,1.61,MN
61,kiunga,-6.1219,141.2906,22.87,100,99,1.09,PG
62,cherskiy,68.75,161.3,-40.89,100,100,2.3,RU
63,punta arenas,-53.15,-70.9167,13.06,41,0,12.86,CL
64,balkanabat,39.5108,54.3671,7.46,46,39,1.17,TM
65,wanning,18.8003,110.3967,21.65,89,99,1.27,CN
66,kirensk,57.7853,108.1119,-14.7,98,100,1.23,RU
67,chuy,-33.6971,-53.4616,21.6,70,0,4.34,UY
68,san quintin,30.4833,-115.95,18.05,62,24,10.05,MX
69,klaksvik,62.2266,-6.589,8.51,93,100,15.73,FO
70,briancon,44.9,6.65,0.34,93,73,2.64,FR
71,kangaatsiaq,68.3065,-53.4641,-21.98,87,100,5.2,GL
72,cape town,-33.9258,18.4232,22.23,77,0,9.26,ZA
73,saint george,37.1041,-113.5841,17.19,37,0,8.75,US
74,clevelandia,-26.3958,-52.4708,20.21,59,100,1.44,BR
75,castro,-24.7911,-50.0119,22.82,68,65,3.31,BR
76,pandan,14.0453,124.1694,25.07,89,33,4.15,PH
77,avarua,-21.2078,-159.775,28.03,83,75,6.69,CK
78,saldanha,-33.0117,17.9442,19.03,90,7,9.22,ZA
79,tooele,40.5308,-112.2983,1.51,81,100,3.09,US
80,qaanaaq,77.484,-69.3632,-18.7,59,2,3.81,GL
81,alofi,-19.0595,-169.9187,25.94,83,90,3.09,NU
82,luderitz,-26.6481,15.1594,18.03,82,63,6.64,NA
83,thompson,55.7435,-97.8558,-14.91,85,100,2.57,CA
84,bambous virieux,-20.3428,57.7575,26.79,83,40,2.06,MU
85,mar del plata,-38.0023,-57.5575,31.02,37,0,6.17,AR
86,saint-augustin,51.226,-58.6502,-16.38,91,100,0.42,CA
87,bluff,-46.6,168.3333,15.27,86,62,11.43,NZ
88,puerto ayora,-0.7393,-90.3518,29.98,88,29,3.58,EC
89,havre-saint-pierre,50.2334,-63.5986,-12.0,85,100,3.09,CA
90,belmonte,-15.8631,-38.8828,26.42,78,0,4.76,BR
91,puntarenas,9.9763,-84.8384,30.79,50,79,2.62,CR
92,beloha,-25.1667,45.05,21.57,94,100,4.48,MG
93,bilibino,68.0546,166.4372,-36.0,100,100,0.83,RU
94,saskylakh,71.9167,114.0833,-41.38,100,96,1.74,RU
